cell_id	status	axis_role	key_width	head_count	steps_per_head	pressure_axes	profile_id	lookup_claims	trace_rows	fused_proof_size_bytes	source_plus_sidecar_raw_proof_bytes	fused_to_source_plus_sidecar_ratio	evidence_json	missing_reason
d64_h16_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	64	16	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d64_h16_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	64	16	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d64_h16_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	64	16	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d64_h16_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	64	16	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h1_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_axis	128	1	8	width								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h1_seq16	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_sequence_crossing	128	1	16	width+sequence	d128_single_head_seq16	168	256	380342	397313	0.957286	docs/engineering/evidence/zkai-attention-kv-stwo-native-d128-single-head-seq16-fused-softmax-table-gate-2026-05.json	proved
d128_h1_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_sequence_crossing	128	1	32	width+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h1_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_sequence_crossing	128	1	64	width+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h2_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	128	2	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h2_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	128	2	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h2_seq32	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	128	2	32	width+head+sequence	d128_two_head_seq32	1184	2048	445888	478276	0.932282	docs/engineering/evidence/zkai-attention-kv-stwo-native-d128-two-head-seq32-fused-softmax-table-gate-2026-05.json	proved
d128_h2_seq64	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	128	2	64	width+head+sequence	d128_two_head_seq64	4416	8192	481870	522187	0.922792	docs/engineering/evidence/zkai-attention-kv-stwo-native-d128-two-head-seq64-fused-softmax-table-gate-2026-05.json	proved
d128_h4_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	128	4	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h4_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	128	4	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h4_seq32	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	128	4	32	width+head+sequence	d128_four_head_seq32	2368	4096	465630	504934	0.92216	docs/engineering/evidence/zkai-attention-kv-stwo-native-d128-four-head-seq32-fused-softmax-table-gate-2026-05.json	proved
d128_h4_seq64	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	128	4	64	width+head+sequence	d128_four_head_seq64	8832	16384	495854	539670	0.91881	docs/engineering/evidence/zkai-attention-kv-stwo-native-d128-four-head-seq64-fused-softmax-table-gate-2026-05.json	proved
d128_h8_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	128	8	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h8_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	128	8	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h8_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	128	8	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h8_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	128	8	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h16_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	128	16	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h16_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	128	16	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h16_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	128	16	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d128_h16_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	128	16	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h1_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_axis	256	1	8	width								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h1_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_sequence_crossing	256	1	16	width+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h1_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_sequence_crossing	256	1	32	width+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h1_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_sequence_crossing	256	1	64	width+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h2_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	256	2	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h2_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	256	2	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h2_seq32	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	256	2	32	width+head+sequence	d256_two_head_seq32	1184	2048	821398	851541	0.964602	docs/engineering/evidence/zkai-attention-kv-stwo-native-d256-two-head-seq32-fused-softmax-table-gate-2026-05.json	proved
d256_h2_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	256	2	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h4_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	256	4	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h4_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	256	4	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
